Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:44.61	2	FON	1.792587819
0:01:38.204	5	FON	2.023865902
0:03:08.625	11	FON	1.74464391
0:03:53.745	14	FON	1.494011724
0:04:37.791	17	FON	1.751997515
0:05:21.846	20	FON	0.9977012657
0:07:34.684	29	FON	1.504191676
0:10:32.019	41	FON	0.9907786829
0:11:14.627	44	FON	1.219916926
0:12:43.841	50	FON	1.487756834
0:13:33.024	53	FON	2.865284453
0:14:17.8	56	FON	1.777720427
0:16:31.776	65	FON	2.234478116
0:17:15.231	68	FON	3.881857979
0:17:59.375	71	FON	3.425037015
0:19:26.796	77	FON	2.646037668
0:20:10.587	80	FON	4.192566102
0:20:56.075	83	FON	3.275034845
0:21:41.426	86	FON	3.580423412
0:29:05.413	116	FON	5.599079235
0:29:49.301	119	FON	5.317833309
0:02:24.051	8	KIS	1.828779727
0:06:06.206	23	KIS	1.331056161
0:06:50.893	26	KIS	2.248542433
0:08:19.068	32	KIS	0.9144586537
0:09:04.708	35	KIS	1.928540376
0:09:47.955	38	KIS	3.471663486
0:11:58.897	47	KIS	1.43779001
0:15:02.055	59	KIS	0.9451423518
0:15:45.479	62	KIS	2.030165889
0:18:42.261	74	KIS	3.853879134
0:22:25.585	89	KIS	3.772471517
0:23:12.249	92	KIS	4.391080187
0:23:55.578	95	KIS	3.57520814
0:24:38.512	98	KIS	3.759281488
0:25:24.442	101	KIS	3.500523188
0:26:08.825	104	KIS	4.966092733
0:26:52.374	107	KIS	4.728517575
0:27:38.998	110	KIS	4.876560318
0:28:22.485	113	KIS	4.635726603
0:00:00.0	1	nothing	1.682784691
0:01:58.221	6	nothing	1.357462721
0:03:28.634	12	nothing	1.038634398
0:06:26.229	24	nothing	1.535573331
0:08:39.076	33	nothing	0.3808048482
0:09:24.726	36	nothing	1.01869343
0:11:34.639	45	nothing	1.380864473
0:13:03.854	51	nothing	1.413267627
0:15:22.067	60	nothing	0.3372243842
0:16:51.783	66	nothing	3.04677959
0:18:19.397	72	nothing	4.576995487
0:19:46.812	78	nothing	2.963805157
0:22:45.592	90	nothing	3.745293647
0:23:32.257	93	nothing	4.100746879
0:24:15.589	96	nothing	3.853983491
0:25:44.454	102	nothing	3.054966874
0:26:28.837	105	nothing	5.228881955
0:28:42.501	114	nothing	4.927878192
0:01:34.4	4	proceed	1.735680203
0:02:20.016	7	proceed	1.400961896
0:03:05.965	10	proceed	1.708982146
0:03:51.114	13	proceed	0.642074304
0:04:35.613	16	proceed	1.584236684
0:05:19.829	19	proceed	0.7590679225
0:06:03.611	22	proceed	-0.2319190754
0:06:48.727	25	proceed	1.776672438
0:07:32.742	28	proceed	1.506552524
0:08:16.658	31	proceed	-0.07185788373
0:09:02.641	34	proceed	0.72655358
0:09:45.74	37	proceed	2.173662533
0:10:29.589	40	proceed	1.055532923
0:11:13.121	43	proceed	0.7240189237
0:11:55.62	46	proceed	1.715625953
0:12:40.986	49	proceed	0.681264886
0:13:31.185	52	proceed	1.913349647
0:14:15.451	55	proceed	2.12026501
0:14:58.866	58	proceed	1.077226012
0:15:43.265	61	proceed	1.09772132
0:16:27.165	64	proceed	1.872636902
0:17:13.014	67	proceed	4.087300971
0:17:57.246	70	proceed	2.410533109
0:18:39.845	73	proceed	4.084437082
0:19:24.861	76	proceed	1.909377261
0:20:08.41	79	proceed	3.096347039
0:20:52.692	82	proceed	3.446957582
0:21:39.408	85	proceed	3.301037578
0:22:23.824	88	proceed	3.161570841
0:23:09.289	91	proceed	4.07415711
0:23:53.405	94	proceed	3.595238153
0:24:36.821	97	proceed	3.813694525
0:25:19.937	100	proceed	3.092484737
0:26:07.019	103	proceed	3.139407529
0:26:50.501	106	proceed	4.744430734
0:27:36.701	109	proceed	4.992492919
0:28:20.233	112	proceed	4.553005111
0:29:03.265	115	proceed	5.462560575
0:29:47.231	118	proceed	5.590983699
0:01:04.623	3	shock	1.531038134
0:02:44.067	9	shock	2.043655471
0:04:13.766	15	shock	1.717209114
0:04:57.814	18	shock	1.444859585
0:05:41.863	21	shock	0.4979642959
0:07:10.911	27	shock	2.222936764
0:07:54.693	30	shock	0.6409010358
0:10:07.974	39	shock	2.260926497
0:10:52.04	42	shock	0.9407978162
0:12:18.905	48	shock	1.535185116
0:13:53.036	54	shock	2.366412838
0:14:37.818	57	shock	1.854198263
0:16:05.5	63	shock	2.15723673
0:17:35.248	69	shock	3.230554196
0:19:02.279	75	shock	2.659448512
0:20:30.594	81	shock	3.933385941
0:21:16.093	84	shock	3.417999785
0:22:01.442	87	shock	3.388814228
0:24:58.522	99	shock	3.473749593
0:27:12.386	108	shock	5.000044152
0:27:59.018	111	shock	4.719674873
0:29:25.433	117	shock	5.572709199
0:30:09.316	120	shock	4.499730311
