no,block,trial,trialProb,trialDoors(1),trialDoors(2),trialOut,trialDelay,optionChosen,responseTime,chooseFind,responseTime
1,1,1,50,2,1,1,20,1,47.0835043,0,3.3657153
2,1,2,50,1,2,0,20,2,45.0000438,0,3.7006517
3,1,3,50,1,2,1,20,2,44.0830878,0,2.6501131
4,1,4,50,1,2,0,20,2,45.0162716,0,4.0902015
5,1,5,50,2,1,1,20,2,47.1497497,1,5.3011997
6,1,6,50,2,1,0,20,1,42.4164784,0,1.2867058
7,1,7,50,1,2,0,20,2,42.2331309,0,1.3858592
8,1,8,50,1,2,1,20,2,43.4663885,0,0.8866851
9,1,9,50,2,1,0,20,1,44.3330438,0,3.2563178
10,1,10,50,2,1,1,20,1,43.566393,0,1.7779883
11,1,11,50,2,1,0,20,1,43.1664827,0,2.2161121
12,1,12,50,2,1,1,20,1,44.3164365,0,2.2683261
13,1,13,50,1,2,1,20,2,45.8831399,0,3.1182998
14,1,14,50,2,1,0,20,1,43.7831282,0,1.6063783
15,1,15,50,1,2,1,20,2,42.8998117,0,1.5488198
16,1,16,50,2,1,0,20,1,43.2663993,0,1.6216218
17,1,17,50,2,1,0,20,1,48.94977,0,5.9756595
18,1,18,50,2,1,0,20,1,41.633084,0,1.2466361
19,1,19,50,1,2,1,20,2,43.1164186,0,1.7547804
20,1,20,50,2,1,1,20,1,45.8497728,0,0.99569
21,1,21,50,2,1,1,20,2,43.7497347,1,1.5592213
22,1,22,50,2,1,1,20,1,42.5831593,0,1.0366875
23,1,23,50,1,2,0,20,2,42.8998064,0,1.3383765
24,1,24,50,1,2,0,20,2,42.0663989,0,0.9159016
25,1,25,50,1,2,1,20,2,43.6664723,0,1.029677
26,1,26,50,1,2,0,20,2,43.1330576,0,0.8080216
27,1,27,50,2,1,1,20,1,43.0997342,0,1.6328631
28,1,28,50,2,1,0,20,1,43.4330645,0,1.2899646
29,1,29,50,2,1,0,20,1,45.8163882,0,0.6365062
30,1,30,50,2,1,1,20,1,44.0664749,0,1.9383189
31,1,31,50,1,2,0,20,2,43.5498207,0,1.5883047
32,1,32,50,2,1,0,20,1,42.249844,0,0.801226
33,1,33,50,1,2,0,20,2,45.46635,0,2.0614325
34,1,34,50,1,2,0,20,2,43.0830941,0,1.2393133
35,1,35,50,1,2,0,20,2,43.1330941,0,0.6333795
36,1,36,50,1,2,0,20,2,48.4496962,0,0.9459677
37,1,37,50,1,2,0,20,2,41.8997651,0,0.9719413
38,1,38,50,1,2,0,20,2,46.5996524,0,1.2767181
39,1,39,50,2,1,1,20,1,46.9497422,0,1.1699611
40,1,40,50,1,2,1,20,2,49.5496526,0,8.0177677
