no,block,trial,trialProb,trialDoors(1),trialDoors(2),trialOut,trialDelay,optionChosen,responseTime,chooseFind,responseTime
1,1,1,50,2,1,1,20,2,50.43294749,1,7.071405392
2,1,2,50,1,2,0,20,1,51.7499692,1,8.8178206
3,1,3,50,1,2,1,20,1,44.7498513,1,1.705088
4,1,4,50,2,1,1,20,2,43.0330784,1,1.8715049
5,1,5,50,2,1,1,20,2,42.1166873,1,1.2257864
6,1,6,50,2,1,1,20,2,42.6332789,1,1.5291912
7,1,7,50,1,2,0,20,1,46.4496846,1,5.7249588
8,1,8,50,2,1,1,20,2,42.7997448,1,1.4809112
9,1,9,50,2,1,1,20,2,44.2331311,1,3.0563644
10,1,10,50,1,2,0,20,2,42.3664506,0,1.3454351
11,1,11,50,2,1,0,20,2,43.1664291,1,1.9196373
12,1,12,50,1,2,1,20,1,45.4496761,1,3.6036913
13,1,13,50,1,2,0,20,1,45.6497066,1,2.8640295
14,1,14,50,1,2,0,20,1,43.1997426,1,1.083845
15,1,15,50,1,2,0,20,1,42.9663846,1,1.1199651
16,1,16,50,2,1,1,20,2,44.9497983,1,1.4463898
17,1,17,50,1,2,1,20,1,54.1996849,1,1.1096376
18,1,18,50,2,1,1,20,2,44.5831527,1,2.4507685
19,1,19,50,2,1,0,20,2,43.4163722,1,1.537723
20,1,20,50,1,2,1,20,1,46.9496966,1,1.8465841
21,1,21,50,2,1,1,20,2,45.6164075,1,1.613194
22,1,22,50,2,1,0,20,2,43.1997793,1,1.1292199
23,1,23,50,1,2,1,20,2,43.5830364,0,1.5084162
24,1,24,50,1,2,1,20,1,45.4163638,1,1.5391252
25,1,25,50,2,1,1,20,2,65.1495857,1,2.5887773
26,1,26,50,2,1,1,20,2,44.7497566,1,3.1750731
27,1,27,50,2,1,0,20,2,47.6497537,1,1.8373848
28,1,28,50,2,1,0,20,2,41.3664364,1,0.9136483
29,1,29,50,2,1,0,20,2,41.4831362,1,0.7682846
30,1,30,50,1,2,0,20,1,52.7997325,1,1.9532016
31,1,31,50,1,2,0,20,1,43.3997979,1,1.0559167
32,1,32,50,2,1,0,20,2,42.8498536,1,1.1945278
33,1,33,50,1,2,0,20,1,42.2164637,1,1.0704025
34,1,34,50,1,2,1,20,1,42.2831298,1,1.3787209
35,1,35,50,2,1,1,20,2,44.0663875,1,1.5718628
36,1,36,50,1,2,0,20,1,42.2497419,1,1.8767184
37,1,37,50,1,2,0,20,1,45.3830055,1,2.7730781
38,1,38,50,1,2,1,20,1,42.6830513,1,1.1364956
39,1,39,50,2,1,1,20,2,41.4997794,1,0.6412743
40,1,40,50,1,2,0,20,1,41.9496992,1,1.2894902
