Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:00.0	1	proceed	0.0
0:02:38.742	4	proceed	8.1753
0:03:27.991	7	proceed	6.3875
0:04:15.323	10	proceed	9.7789
0:05:02.005	13	proceed	14.2203
0:05:49.905	16	proceed	9.2078
0:06:36.853	19	proceed	0.8945
0:07:24.336	22	proceed	12.4489
0:08:08.468	25	proceed	11.9631
0:08:52.984	28	proceed	0.612
0:09:39.766	31	proceed	10.712
0:10:23.832	34	proceed	12.9648
0:11:13.748	37	proceed	15.4372
0:11:58.13	40	proceed	11.5414
0:12:44.213	43	proceed	9.8244
0:13:30.728	46	proceed	7.5555
0:14:16.878	49	proceed	5.863
0:15:03.493	52	proceed	0.7297
0:15:50.559	55	proceed	-4.0368
0:16:35.925	58	proceed	-4.5541
0:17:24.041	61	proceed	19.527
0:18:08.573	64	proceed	17.3568
0:18:57.739	67	proceed	18.9072
0:19:43.171	70	proceed	15.5091
0:20:28.154	73	proceed	12.2767
0:21:17.186	76	proceed	23.1592
0:22:02.652	79	proceed	13.0773
0:22:47.368	82	proceed	1.1676
0:23:30.417	85	proceed	-2.2779
0:24:13.716	88	proceed	3.5852
0:24:59.665	91	proceed	-1.7216
0:25:46.948	94	proceed	-1.2383
0:26:31.78	97	proceed	-3.3757
0:27:17.379	100	proceed	-5.5641
0:28:04.861	103	proceed	1.1794
0:28:49.044	106	proceed	2.9823
0:29:34.576	109	proceed	1.0097
0:30:20.976	112	proceed	7.6325
0:31:10.975	115	proceed	7.4704
0:31:54.857	118	proceed	0.958
0:32:40.206	121	proceed	-4.2952
0:00:00.0	1	proceed	14.7976
0:02:38.742	4	proceed	7.9628
0:03:27.991	7	proceed	5.9899
0:04:15.323	10	proceed	9.3315
0:05:02.005	13	proceed	13.831
0:05:49.905	16	proceed	8.8029
0:06:36.853	19	proceed	0.6057
0:07:24.336	22	proceed	11.6245
0:08:08.468	25	proceed	11.2868
0:08:52.984	28	proceed	0.184
0:09:39.766	31	proceed	10.6501
0:10:23.832	34	proceed	12.4825
0:11:13.748	37	proceed	15.02
0:11:58.13	40	proceed	10.8498
0:12:44.213	43	proceed	9.3686
0:13:30.728	46	proceed	6.8592
0:14:16.878	49	proceed	5.4175
0:15:03.493	52	proceed	0.281
0:15:50.559	55	proceed	-4.2455
0:16:35.925	58	proceed	-4.6942
0:17:24.041	61	proceed	19.7081
0:18:08.573	64	proceed	16.6163
0:18:57.739	67	proceed	18.8379
0:19:43.171	70	proceed	14.5775
0:20:28.154	73	proceed	11.2238
0:21:17.186	76	proceed	22.9953
0:22:02.652	79	proceed	12.2029
0:22:47.368	82	proceed	0.7773
0:23:30.417	85	proceed	-2.3773
0:24:13.716	88	proceed	3.4219
0:24:59.665	91	proceed	-1.9779
0:25:46.948	94	proceed	-1.268
0:26:31.78	97	proceed	-3.5153
0:27:17.379	100	proceed	-5.7099
0:28:04.861	103	proceed	1.6546
0:28:49.044	106	proceed	2.5927
0:29:34.576	109	proceed	1.2634
0:30:20.976	112	proceed	7.5948
0:31:10.975	115	proceed	7.0234
0:31:54.857	118	proceed	0.6388
0:32:40.206	121	proceed	-4.4619
0:01:53.546	2	FON	6.1739
0:02:45.309	5	FON	8.7088
0:03:33.193	8	FON	8.4223
0:04:19.486	11	FON	9.2445
0:05:07.126	14	FON	12.2937
0:05:54.643	17	FON	7.5666
0:07:26.707	23	FON	17.5057
0:08:11.259	26	FON	9.8389
0:08:57.721	29	FON	-0.6167
0:09:42.729	32	FON	10.2885
0:10:30.959	35	FON	10.0746
0:11:16.448	38	FON	14.695
0:14:22.216	50	FON	4.6696
0:15:54.156	56	FON	-4.6675
0:17:26.795	62	FON	19.6372
0:19:46.367	71	FON	12.6791
0:20:35.709	74	FON	9.2022
0:22:49.39	83	FON	0.1856
0:23:32.453	86	FON	0.3881
0:24:18.733	89	FON	2.8214
0:25:50.735	95	FON	-1.2927
0:28:53.507	107	FON	1.6269
0:29:39.297	110	FON	1.8755
0:30:27.714	113	FON	7.8414
0:31:13.273	116	FON	6.2323
0:01:53.546	2	FON	6.4276
0:02:45.309	5	FON	8.4112
0:03:33.193	8	FON	8.156
0:04:19.486	11	FON	10.3249
0:05:07.126	14	FON	13.1754
0:05:54.643	17	FON	6.9939
0:07:26.707	23	FON	16.8062
0:08:11.259	26	FON	9.0913
0:08:57.721	29	FON	0.3303
0:09:42.729	32	FON	11.1212
0:10:30.959	35	FON	10.9166
0:11:16.448	38	FON	14.5468
0:14:22.216	50	FON	4.3661
0:15:54.156	56	FON	-4.8197
0:17:26.795	62	FON	19.3901
0:19:46.367	71	FON	11.9233
0:20:35.709	74	FON	11.5657
0:22:49.39	83	FON	-0.1367
0:23:32.453	86	FON	1.3143
0:24:18.733	89	FON	2.5023
0:25:50.735	95	FON	-1.358
0:28:53.507	107	FON	1.3922
0:29:39.297	110	FON	1.6411
0:30:27.714	113	FON	9.4268
0:31:13.273	116	FON	5.7601
0:01:53.546	2	FON	6.677
0:02:45.309	5	FON	8.453
0:03:33.193	8	FON	8.8292
0:04:19.486	11	FON	10.62
0:05:07.126	14	FON	13.2943
0:05:54.643	17	FON	6.4465
0:07:26.707	23	FON	16.4412
0:08:11.259	26	FON	8.3701
0:08:57.721	29	FON	0.669
0:09:42.729	32	FON	11.5375
0:10:30.959	35	FON	10.8825
0:11:16.448	38	FON	14.2692
0:14:22.216	50	FON	3.9057
0:15:54.156	56	FON	-4.9752
0:17:26.795	62	FON	19.0674
0:19:46.367	71	FON	11.0956
0:20:35.709	74	FON	12.6658
0:22:49.39	83	FON	-0.4558
0:23:32.453	86	FON	1.8021
0:24:18.733	89	FON	2.1336
0:25:50.735	95	FON	-1.3353
0:28:53.507	107	FON	1.2953
0:29:39.297	110	FON	1.5787
0:30:27.714	113	FON	10.049
0:31:13.273	116	FON	5.3181
0:01:53.546	2	FON	6.7543
0:02:45.309	5	FON	8.4404
0:03:33.193	8	FON	9.4482
0:04:19.486	11	FON	11.0714
0:05:07.126	14	FON	12.8486
0:05:54.643	17	FON	5.9562
0:07:26.707	23	FON	15.9767
0:08:11.259	26	FON	7.6639
0:08:57.721	29	FON	1.0552
0:09:42.729	32	FON	11.7013
0:10:30.959	35	FON	10.772
0:11:16.448	38	FON	13.9443
0:14:22.216	50	FON	3.4055
0:15:54.156	56	FON	-5.1445
0:17:26.795	62	FON	18.6373
0:19:46.367	71	FON	10.2805
0:20:35.709	74	FON	12.9444
0:22:49.39	83	FON	-0.7597
0:23:32.453	86	FON	2.1361
0:24:18.733	89	FON	1.7334
0:25:50.735	95	FON	-1.3572
0:28:53.507	107	FON	1.083
0:29:39.297	110	FON	1.7166
0:30:27.714	113	FON	10.3095
0:31:13.273	116	FON	4.8834
0:06:41.723	20	KIS	1.4568
0:12:02.253	41	KIS	9.1368
0:12:49.694	44	KIS	7.3613
0:13:34.375	47	KIS	5.2585
0:15:09.427	53	KIS	-0.2191
0:16:43.091	59	KIS	-4.8757
0:18:15.874	65	KIS	14.8525
0:19:01.184	68	KIS	18.2572
0:21:20.512	77	KIS	22.2852
0:22:05.641	80	KIS	10.4777
0:25:05.309	92	KIS	-2.9177
0:26:35.13	98	KIS	-4.0426
0:27:21.467	101	KIS	-6.078
0:28:07.467	104	KIS	1.9577
0:31:58.35	119	KIS	-0.136
0:06:41.723	20	KIS	3.7346
0:12:02.253	41	KIS	8.574
0:12:49.694	44	KIS	8.3947
0:13:34.375	47	KIS	4.8511
0:15:09.427	53	KIS	-0.4722
0:16:43.091	59	KIS	-2.9252
0:18:15.874	65	KIS	14.0718
0:19:01.184	68	KIS	17.8435
0:21:20.512	77	KIS	21.9223
0:22:05.641	80	KIS	9.6686
0:25:05.309	92	KIS	-3.0694
0:26:35.13	98	KIS	-4.292
0:27:21.467	101	KIS	-6.2033
0:28:07.467	104	KIS	2.4337
0:31:58.35	119	KIS	-0.4562
0:06:41.723	20	KIS	5.7796
0:12:02.253	41	KIS	8.025
0:12:49.694	44	KIS	9.6591
0:13:34.375	47	KIS	4.438
0:15:09.427	53	KIS	-0.7383
0:16:43.091	59	KIS	-0.0926
0:18:15.874	65	KIS	13.2845
0:19:01.184	68	KIS	17.2213
0:21:20.512	77	KIS	21.4539
0:22:05.641	80	KIS	8.9077
0:25:05.309	92	KIS	-3.1528
0:26:35.13	98	KIS	-4.5309
0:27:21.467	101	KIS	-6.3332
0:28:07.467	104	KIS	2.6566
0:31:58.35	119	KIS	-0.7773
0:06:41.723	20	KIS	7.6175
0:12:02.253	41	KIS	7.614
0:12:49.694	44	KIS	10.3576
0:13:34.375	47	KIS	3.9946
0:15:09.427	53	KIS	-1.0081
0:16:43.091	59	KIS	2.6035
0:18:15.874	65	KIS	12.51
0:19:01.184	68	KIS	16.5529
0:21:20.512	77	KIS	20.8593
0:22:05.641	80	KIS	8.1867
0:25:05.309	92	KIS	-3.2357
0:26:35.13	98	KIS	-4.7528
0:27:21.467	101	KIS	-6.4502
0:28:07.467	104	KIS	2.7779
0:31:58.35	119	KIS	-1.0945
0:04:39.508	12	shock	16.088
0:05:27.141	15	shock	10.5033
0:07:46.72	24	shock	15.2758
0:09:17.735	30	shock	3.6153
0:10:50.966	36	shock	15.054
0:11:36.465	39	shock	12.4031
0:12:22.264	42	shock	7.0359
0:13:54.396	48	shock	2.0145
0:14:42.229	51	shock	1.0311
0:16:14.177	57	shock	-5.4222
0:17:46.808	63	shock	17.3562
0:18:35.89	66	shock	9.5554
0:19:21.206	69	shock	14.0642
0:20:06.389	72	shock	7.3542
0:20:55.721	75	shock	14.9644
0:21:40.521	78	shock	17.5659
0:26:55.147	99	shock	-5.5994
0:27:41.48	102	shock	-6.2637
0:29:13.528	108	shock	0.4762
0:29:59.31	111	shock	1.8727
0:02:13.566	3	nothing	6.9015
0:03:05.327	6	nothing	8.6008
0:03:53.209	9	nothing	11.3969
0:06:14.656	18	nothing	3.5326
0:07:01.738	21	nothing	14.2559
0:08:31.269	27	nothing	4.2443
0:10:02.751	33	nothing	14.5817
0:13:09.715	45	nothing	11.6875
0:15:29.444	54	nothing	-2.3304
0:17:03.109	60	nothing	13.945
0:22:25.654	81	nothing	4.6944
0:23:09.402	84	nothing	-2.1773
0:23:52.469	87	nothing	3.3209
0:24:38.751	90	nothing	-0.256
0:25:25.317	93	nothing	-3.6963
0:26:10.748	96	nothing	-1.6491
0:28:27.48	105	nothing	3.7071
0:30:47.727	114	nothing	10.5528
0:31:33.292	117	nothing	2.6275
0:32:18.358	120	nothing	-2.6504
