Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:00.0	1	proceed	0
0:01:32.492	4	proceed	-1.135768749
0:02:21.29	7	proceed	0.3157487498
0:03:07.855	10	proceed	2.10431095
0:03:52.687	13	proceed	0.5726862493
0:04:37.52	16	proceed	0.8735881253
0:05:23.302	19	proceed	1.034086877
0:06:08.235	22	proceed	0.7011390623
0:06:56.8	25	proceed	-1.121813123
0:07:44.683	28	proceed	-1.699087501
0:08:31.165	31	proceed	-1.465918128
0:09:15.747	34	proceed	-1.30880406
0:10:09.88	37	proceed	3.478919063
0:10:53.645	40	proceed	3.249084994
0:11:41.594	43	proceed	4.667570632
0:12:33.293	46	proceed	3.08562654
0:13:19.459	49	proceed	2.169242816
0:14:04.641	52	proceed	0.3184634374
0:14:52.107	55	proceed	1.999914062
0:15:36.673	58	proceed	2.156789999
0:16:21.422	61	proceed	2.565229372
0:17:06.704	64	proceed	2.952451258
0:17:51.92	67	proceed	2.509765004
0:18:46.152	70	proceed	2.686119055
0:19:32.618	73	proceed	2.285861562
0:20:18.884	76	proceed	2.977444381
0:21:06.133	79	proceed	3.817300015
0:21:52.715	82	proceed	4.066374686
0:22:36.881	85	proceed	4.19347282
0:23:20.813	88	proceed	3.89653313
0:24:05.146	91	proceed	2.122985001
0:24:48.778	94	proceed	1.38203969
0:25:33.277	97	proceed	5.666112817
0:26:17.66	100	proceed	5.254879362
0:27:03.325	103	proceed	3.490774063
0:27:51.458	106	proceed	3.048273439
0:28:38.607	109	proceed	3.130634997
0:29:24.606	112	proceed	3.325520935
0:30:11.205	115	proceed	4.453238439
0:30:59.004	118	proceed	7.191339366
0:31:42.87	121	proceed	4.293476873
0:00:00.0	1	proceed	-1.152696251
0:01:32.492	4	proceed	-1.211990003
0:02:21.29	7	proceed	0.5309487491
0:03:07.855	10	proceed	2.41860875
0:03:52.687	13	proceed	0.4225887502
0:04:37.52	16	proceed	0.9631975004
0:05:23.302	19	proceed	1.20277625
0:06:08.235	22	proceed	0.5656512502
0:06:56.8	25	proceed	-0.9120812504
0:07:44.683	28	proceed	-1.776883746
0:08:31.165	31	proceed	-1.483863751
0:09:15.747	34	proceed	-1.375552496
0:10:09.88	37	proceed	3.703538752
0:10:53.645	40	proceed	3.125867489
0:11:41.594	43	proceed	4.613708783
0:12:33.293	46	proceed	3.072431195
0:13:19.459	49	proceed	2.004603755
0:14:04.641	52	proceed	0.2205175005
0:14:52.107	55	proceed	2.05154125
0:15:36.673	58	proceed	2.008236255
0:16:21.422	61	proceed	2.729284991
0:17:06.704	64	proceed	2.935456227
0:17:51.92	67	proceed	2.446672515
0:18:46.152	70	proceed	2.710848744
0:19:32.618	73	proceed	2.26497001
0:20:18.884	76	proceed	3.048242497
0:21:06.133	79	proceed	3.90674746
0:21:52.715	82	proceed	4.125470003
0:22:36.881	85	proceed	4.261426241
0:23:20.813	88	proceed	4.25500999
0:24:05.146	91	proceed	2.013830009
0:24:48.778	94	proceed	1.303999997
0:25:33.277	97	proceed	5.937367493
0:26:17.66	100	proceed	5.861259999
0:27:03.325	103	proceed	3.197781249
0:27:51.458	106	proceed	3.376319993
0:28:38.607	109	proceed	3.017137496
0:29:24.606	112	proceed	3.496353748
0:30:11.205	115	proceed	4.640857485
0:30:59.004	118	proceed	7.446819996
0:31:42.87	121	proceed	4.148863759
0:02:24.613	8	FON	1.404581505
0:07:02.445	26	FON	-0.3126770003
0:07:48.237	29	FON	-1.885383492
0:11:50.514	44	FON	4.694882764
0:13:22.474	50	FON	1.692059249
0:14:09.4	53	FON	0.4447564983
0:14:55.591	56	FON	2.116639263
0:18:50.164	71	FON	2.829674992
0:19:35.914	74	FON	3.209112502
0:21:08.66	80	FON	4.077236503
0:21:55.242	83	FON	4.163464256
0:27:54.263	107	FON	3.911465751
0:28:41.053	110	FON	2.856351002
0:30:16.292	116	FON	5.572354996
0:31:00.932	119	FON	7.981239747
0:02:24.613	8	FON	1.635434379
0:07:02.445	26	FON	-0.3961783758
0:07:48.237	29	FON	-1.794674621
0:11:50.514	44	FON	4.995139004
0:13:22.474	50	FON	1.5560625
0:14:09.4	53	FON	0.590022875
0:14:55.591	56	FON	2.298235505
0:18:50.164	71	FON	2.928116498
0:19:35.914	74	FON	2.928372126
0:21:08.66	80	FON	4.198876003
0:21:55.242	83	FON	4.203111494
0:27:54.263	107	FON	4.194115876
0:28:41.053	110	FON	2.755968124
0:30:16.292	116	FON	6.353588872
0:31:00.932	119	FON	8.12769962
0:02:24.613	8	FON	1.869240335
0:07:02.445	26	FON	-0.4276192505
0:07:48.237	29	FON	-1.533307748
0:11:50.514	44	FON	5.143307669
0:13:22.474	50	FON	1.509223749
0:14:09.4	53	FON	0.5942709167
0:14:55.591	56	FON	2.400773503
0:18:50.164	71	FON	3.109615
0:19:35.914	74	FON	2.649366167
0:21:08.66	80	FON	4.332786749
0:21:55.242	83	FON	4.372075415
0:27:54.263	107	FON	4.455317253
0:28:41.053	110	FON	2.664434497
0:30:16.292	116	FON	6.309739164
0:31:00.932	119	FON	8.189319
0:02:24.613	8	FON	1.896460878
0:07:02.445	26	FON	-0.5257245004
0:07:48.237	29	FON	-1.382261623
0:11:50.514	44	FON	5.06248344
0:13:22.474	50	FON	1.438668937
0:14:09.4	53	FON	0.505237625
0:14:55.591	56	FON	2.465900189
0:18:50.164	71	FON	3.176724375
0:19:35.914	74	FON	2.438500252
0:21:08.66	80	FON	4.353009623
0:21:55.242	83	FON	4.481756568
0:27:54.263	107	FON	4.613345688
0:28:41.053	110	FON	2.600702251
0:30:16.292	116	FON	5.998058061
0:31:00.932	119	FON	8.051517628
0:00:50.15	2	KIS	-1.550306998
0:01:38.747	5	KIS	-1.171216761
0:03:10.689	11	KIS	2.949635501
0:03:55.879	14	KIS	0.1427732498
0:04:41.528	17	KIS	1.205796751
0:05:25.599	20	KIS	1.379426748
0:06:11.007	23	KIS	0.3377095
0:08:34.637	32	KIS	-1.497686496
0:09:18.987	35	KIS	-1.503831254
0:10:12.291	38	KIS	4.078445754
0:10:58.555	41	KIS	2.855307006
0:12:37.665	47	KIS	3.075629494
0:15:39.0	59	KIS	1.851919498
0:16:23.494	62	KIS	3.01396775
0:17:10.023	65	KIS	3.047302501
0:17:57.517	68	KIS	2.491291495
0:20:21.715	77	KIS	3.534574256
0:22:39.841	86	KIS	4.380111005
0:23:23.368	89	KIS	3.518733751
0:24:07.68	92	KIS	1.832440751
0:24:50.849	95	KIS	1.231599743
0:25:35.696	98	KIS	6.42127525
0:26:21.533	101	KIS	4.620575992
0:27:08.174	104	KIS	2.526484002
0:29:27.878	113	KIS	4.633310996
0:00:50.15	2	KIS	-1.31582925
0:01:38.747	5	KIS	-1.093783505
0:03:10.689	11	KIS	3.087748122
0:03:55.879	14	KIS	0.3173398751
0:04:41.528	17	KIS	1.418407996
0:05:25.599	20	KIS	1.374603248
0:06:11.007	23	KIS	0.3780562496
0:08:34.637	32	KIS	-1.478415497
0:09:18.987	35	KIS	-1.519769379
0:10:12.291	38	KIS	4.219377383
0:10:58.555	41	KIS	2.866006005
0:12:37.665	47	KIS	3.133647738
0:15:39.0	59	KIS	1.846729375
0:16:23.494	62	KIS	3.462050248
0:17:10.023	65	KIS	3.323949378
0:17:57.517	68	KIS	2.556704371
0:20:21.715	77	KIS	3.652272384
0:22:39.841	86	KIS	4.575608502
0:23:23.368	89	KIS	3.232723502
0:24:07.68	92	KIS	1.742333875
0:24:50.849	95	KIS	1.439122997
0:25:35.696	98	KIS	6.612514878
0:26:21.533	101	KIS	4.32851187
0:27:08.174	104	KIS	2.339107752
0:29:27.878	113	KIS	4.904904253
0:00:50.15	2	KIS	-1.387914668
0:01:38.747	5	KIS	-1.04046992
0:03:10.689	11	KIS	3.004036748
0:03:55.879	14	KIS	0.3451779999
0:04:41.528	17	KIS	1.493183331
0:05:25.599	20	KIS	1.45865783
0:06:11.007	23	KIS	0.4048366661
0:08:34.637	32	KIS	-1.467681998
0:09:18.987	35	KIS	-1.504626334
0:10:12.291	38	KIS	4.244171673
0:10:58.555	41	KIS	2.916685172
0:12:37.665	47	KIS	3.193319413
0:15:39.0	59	KIS	1.847406251
0:16:23.494	62	KIS	3.604231499
0:17:10.023	65	KIS	3.421917921
0:17:57.517	68	KIS	2.639911165
0:20:21.715	77	KIS	3.713156178
0:22:39.841	86	KIS	4.696733255
0:23:23.368	89	KIS	3.041110084
0:24:07.68	92	KIS	1.661576334
0:24:50.849	95	KIS	1.486439081
0:25:35.696	98	KIS	6.654261169
0:26:21.533	101	KIS	4.07255058
0:27:08.174	104	KIS	2.239107501
0:29:27.878	113	KIS	4.818594167
0:00:50.15	2	KIS	-1.404751751
0:01:38.747	5	KIS	-1.096672003
0:03:10.689	11	KIS	2.798092624
0:03:55.879	14	KIS	0.3114294375
0:04:41.528	17	KIS	1.517075435
0:05:25.599	20	KIS	1.493622873
0:06:11.007	23	KIS	0.3499551245
0:08:34.637	32	KIS	-1.467585247
0:09:18.987	35	KIS	-1.495954127
0:10:12.291	38	KIS	4.224134566
0:10:58.555	41	KIS	2.846332567
0:12:37.665	47	KIS	3.21717231
0:15:39.0	59	KIS	1.812800625
0:16:23.494	62	KIS	3.506061062
0:17:10.023	65	KIS	3.415541253
0:17:57.517	68	KIS	2.757985499
0:20:21.715	77	KIS	3.707871134
0:22:39.841	86	KIS	4.680375877
0:23:23.368	89	KIS	2.944232563
0:24:07.68	92	KIS	1.595157125
0:24:50.849	95	KIS	1.479051436
0:25:35.696	98	KIS	6.581749502
0:26:21.533	101	KIS	3.855411248
0:27:08.174	104	KIS	2.232168939
0:29:27.878	113	KIS	4.632345187
0:01:58.76	6	shock	-1.397760502
0:02:44.624	9	shock	1.927246502
0:04:15.889	15	shock	0.2143080001
0:05:01.538	18	shock	1.617173498
0:09:38.998	36	shock	-1.398599749
0:11:18.563	42	shock	2.420306503
0:12:10.528	45	shock	4.522391741
0:14:29.409	54	shock	0.4596919997
0:15:59.007	60	shock	1.56651475
0:16:43.506	63	shock	2.884725253
0:17:30.038	66	shock	3.249415244
0:18:17.537	69	shock	3.432741748
0:19:55.936	75	shock	1.968000241
0:20:41.735	78	shock	3.599380253
0:21:28.667	81	shock	4.308926741
0:22:15.249	84	shock	4.851725999
0:25:10.862	96	shock	1.512787248
0:27:28.193	105	shock	2.394277251
0:29:01.074	111	shock	2.548620513
0:29:47.89	114	shock	4.042718499
0:30:36.305	117	shock	4.810938008
0:01:10.165	3	nothing	-1.254720489
0:03:30.706	12	nothing	1.63331475
0:05:45.62	21	nothing	1.4088275
0:06:31.02	24	nothing	-0.1167755
0:07:22.451	27	nothing	-1.0816235
0:08:08.25	30	nothing	-0.9966875013
0:08:54.649	33	nothing	-1.268232503
0:10:32.298	39	nothing	3.938146989
0:12:57.677	48	nothing	3.228309997
0:13:42.494	51	nothing	1.038830751
0:15:15.608	57	nothing	2.568749505
0:19:10.187	72	nothing	3.101928998
0:22:59.849	87	nothing	4.358793237
0:23:43.381	90	nothing	2.435502497
0:24:27.697	93	nothing	1.403243255
0:25:55.711	99	nothing	6.064876998
0:26:41.544	102	nothing	2.980395253
0:28:14.275	108	nothing	4.561700497
0:31:20.939	120	nothing	6.325284996
