Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:00.0	1	proceed	0.0
0:03:14.237	4	proceed	4.6999
0:04:01.303	7	proceed	-2.1271
0:04:45.385	10	proceed	-1.8827
0:05:30.068	13	proceed	-3.5579
0:06:16.217	16	proceed	3.5516
0:07:03.983	19	proceed	-2.9555
0:07:47.782	22	proceed	4.031
0:08:33.747	25	proceed	-3.6709
0:09:18.163	28	proceed	0.7157
0:10:04.446	31	proceed	-5.9971
0:10:49.862	34	proceed	1.1183
0:11:34.294	37	proceed	-4.1644
0:12:18.727	40	proceed	-4.8469
0:13:02.476	43	proceed	-1.7999
0:13:45.875	46	proceed	-5.5849
0:14:31.274	49	proceed	-9.7862
0:15:15.356	52	proceed	-10.409
0:16:00.122	55	proceed	10.4462
0:16:44.355	58	proceed	-5.3449
0:17:28.937	61	proceed	-5.7008
0:18:13.803	64	proceed	-8.5926
0:19:05.702	67	proceed	-5.5952
0:19:54.151	70	proceed	0.1082
0:20:38.684	73	proceed	-4.1764
0:21:22.566	76	proceed	0.2402
0:22:08.498	79	proceed	3.9993
0:22:53.664	82	proceed	1.5839
0:23:39.163	85	proceed	-2.2281
0:24:25.612	88	proceed	-8.4723
0:25:08.612	91	proceed	3.0937
0:25:53.611	94	proceed	3.5145
0:26:37.143	97	proceed	1.0097
0:27:22.026	100	proceed	-5.6326
0:28:05.992	103	proceed	-6.8348
0:28:50.941	106	proceed	-7.6311
0:29:36.207	109	proceed	2.6225
0:30:20.156	112	proceed	2.0869
0:31:04.138	115	proceed	7.772
0:31:49.02	118	proceed	-6.2982
0:32:38.236	121	proceed	-4.5216
0:00:00.0	1	proceed	4.4756
0:03:14.237	4	proceed	6.051
0:04:01.303	7	proceed	-2.3884
0:04:45.385	10	proceed	-2.3578
0:05:30.068	13	proceed	-3.6332
0:06:16.217	16	proceed	2.8504
0:07:03.983	19	proceed	-3.232
0:07:47.782	22	proceed	3.1276
0:08:33.747	25	proceed	-3.948
0:09:18.163	28	proceed	0.1399
0:10:04.446	31	proceed	-6.2494
0:10:49.862	34	proceed	0.4318
0:11:34.294	37	proceed	-4.5162
0:12:18.727	40	proceed	-5.141
0:13:02.476	43	proceed	-2.3289
0:13:45.875	46	proceed	-5.8311
0:14:31.274	49	proceed	-9.9935
0:15:15.356	52	proceed	-10.4401
0:16:00.122	55	proceed	6.7729
0:16:44.355	58	proceed	-5.6762
0:17:28.937	61	proceed	-6.0486
0:18:13.803	64	proceed	-9.024
0:19:05.702	67	proceed	-6.3672
0:19:54.151	70	proceed	2.4171
0:20:38.684	73	proceed	-2.9135
0:21:22.566	76	proceed	0.419
0:22:08.498	79	proceed	3.4191
0:22:53.664	82	proceed	1.1265
0:23:39.163	85	proceed	-2.7336
0:24:25.612	88	proceed	-8.6236
0:25:08.612	91	proceed	3.276
0:25:53.611	94	proceed	2.402
0:26:37.143	97	proceed	1.4217
0:27:22.026	100	proceed	-6.0895
0:28:05.992	103	proceed	-6.9785
0:28:50.941	106	proceed	-7.7934
0:29:36.207	109	proceed	1.9138
0:30:20.156	112	proceed	1.1565
0:31:04.138	115	proceed	6.7274
0:31:49.02	118	proceed	-7.138
0:32:38.236	121	proceed	-4.6713
0:02:29.649	2	FON	5.7381
0:04:03.776	8	FON	-1.6356
0:04:48.542	11	FON	0.6845
0:05:34.469	14	FON	1.5889
0:09:22.779	29	FON	-0.6991
0:10:07.665	32	FON	0.581
0:10:52.658	35	FON	0.2757
0:11:37.792	38	FON	-1.9351
0:12:21.015	41	FON	-4.509
0:13:04.935	44	FON	-2.8577
0:13:50.391	47	FON	-6.2266
0:14:34.102	50	FON	-9.7883
0:16:02.915	56	FON	5.2775
0:16:47.534	59	FON	-5.6345
0:17:32.507	62	FON	-4.5391
0:18:16.787	65	FON	-4.3935
0:19:08.498	68	FON	-4.8828
0:19:56.739	71	FON	1.7543
0:20:41.082	74	FON	-2.3157
0:21:25.64	77	FON	0.2536
0:22:12.772	80	FON	1.9753
0:22:58.353	83	FON	-0.2115
0:23:43.92	86	FON	-3.9289
0:24:27.799	89	FON	-8.8366
0:25:11.967	92	FON	3.0181
0:25:56.182	95	FON	1.5341
0:26:40.838	98	FON	-0.3077
0:27:24.749	101	FON	-6.842
0:28:09.412	104	FON	-7.4767
0:29:39.147	110	FON	0.3442
0:31:07.84	116	FON	4.7513
0:31:54.554	119	FON	-8.0753
0:02:29.649	2	FON	4.6752
0:04:03.776	8	FON	-1.5704
0:04:48.542	11	FON	0.1108
0:05:34.469	14	FON	3.0096
0:09:22.779	29	FON	-0.4572
0:10:07.665	32	FON	1.9992
0:10:52.658	35	FON	-0.1292
0:11:37.792	38	FON	-2.9782
0:12:21.015	41	FON	-4.6298
0:13:04.935	44	FON	-3.1305
0:13:50.391	47	FON	-6.3878
0:14:34.102	50	FON	-9.7175
0:16:02.915	56	FON	4.901
0:16:47.534	59	FON	-5.9898
0:17:32.507	62	FON	-4.8654
0:18:16.787	65	FON	-4.1837
0:19:08.498	68	FON	-5.139
0:19:56.739	71	FON	1.0648
0:20:41.082	74	FON	-2.4277
0:21:25.64	77	FON	0.8351
0:22:12.772	80	FON	1.4363
0:22:58.353	83	FON	-0.175
0:23:43.92	86	FON	-4.3736
0:24:27.799	89	FON	-8.9388
0:25:11.967	92	FON	2.6799
0:25:56.182	95	FON	3.0733
0:26:40.838	98	FON	-0.249
0:27:24.749	101	FON	-6.7527
0:28:09.412	104	FON	-7.7347
0:29:39.147	110	FON	-0.6955
0:31:07.84	116	FON	3.8331
0:31:54.554	119	FON	-7.1784
0:02:29.649	2	FON	4.2913
0:04:03.776	8	FON	-1.8925
0:04:48.542	11	FON	-0.0912
0:05:34.469	14	FON	5.7295
0:09:22.779	29	FON	-1.0005
0:10:07.665	32	FON	2.2938
0:10:52.658	35	FON	-0.7594
0:11:37.792	38	FON	-3.0033
0:12:21.015	41	FON	-4.4929
0:13:04.935	44	FON	-3.5118
0:13:50.391	47	FON	-6.6921
0:14:34.102	50	FON	-9.7308
0:16:02.915	56	FON	2.9495
0:16:47.534	59	FON	-6.3951
0:17:32.507	62	FON	-5.0441
0:18:16.787	65	FON	-4.7405
0:19:08.498	68	FON	-5.471
0:19:56.739	71	FON	0.492
0:20:41.082	74	FON	-2.6197
0:21:25.64	77	FON	2.7177
0:22:12.772	80	FON	2.1693
0:22:58.353	83	FON	0.9409
0:23:43.92	86	FON	-4.805
0:24:27.799	89	FON	-9.0626
0:25:11.967	92	FON	2.3524
0:25:56.182	95	FON	3.0571
0:26:40.838	98	FON	-0.5985
0:27:24.749	101	FON	-6.8408
0:28:09.412	104	FON	-8.0062
0:29:39.147	110	FON	-1.4809
0:31:07.84	116	FON	2.9866
0:31:54.554	119	FON	-6.8591
0:02:29.649	2	FON	4.1985
0:04:03.776	8	FON	-2.1933
0:04:48.542	11	FON	-0.2715
0:05:34.469	14	FON	7.5302
0:09:22.779	29	FON	-1.5321
0:10:07.665	32	FON	2.1564
0:10:52.658	35	FON	-1.3337
0:11:37.792	38	FON	-2.6007
0:12:21.015	41	FON	-4.3343
0:13:04.935	44	FON	-3.6263
0:13:50.391	47	FON	-6.9926
0:14:34.102	50	FON	-9.6523
0:16:02.915	56	FON	2.2293
0:16:47.534	59	FON	-6.761
0:17:32.507	62	FON	-5.3794
0:18:16.787	65	FON	-5.1871
0:19:08.498	68	FON	-5.7972
0:19:56.739	71	FON	-0.0034
0:20:41.082	74	FON	-2.3972
0:21:25.64	77	FON	4.5336
0:22:12.772	80	FON	1.9858
0:22:58.353	83	FON	1.0395
0:23:43.92	86	FON	-5.1856
0:24:27.799	89	FON	-9.1772
0:25:11.967	92	FON	2.0141
0:25:56.182	95	FON	3.321
0:26:40.838	98	FON	-0.9415
0:27:24.749	101	FON	-6.9485
0:28:09.412	104	FON	-8.2698
0:29:39.147	110	FON	-2.0207
0:31:07.84	116	FON	2.2297
0:31:54.554	119	FON	-6.6119
0:03:19.161	5	KIS	2.85
0:06:21.564	17	KIS	1.4941
0:07:06.155	20	KIS	-3.6453
0:07:52.273	23	KIS	1.0826
0:08:36.354	26	KIS	-3.2569
0:15:18.278	53	KIS	-10.4941
0:28:54.883	107	KIS	-8.1186
0:30:22.995	113	KIS	-0.6442
0:03:19.161	5	KIS	2.0171
0:06:21.564	17	KIS	1.4153
0:07:06.155	20	KIS	-3.8754
0:07:52.273	23	KIS	2.8895
0:08:36.354	26	KIS	-0.8871
0:15:18.278	53	KIS	-10.5153
0:28:54.883	107	KIS	-8.4567
0:30:22.995	113	KIS	-1.428
0:03:19.161	5	KIS	1.4096
0:06:21.564	17	KIS	1.9143
0:07:06.155	20	KIS	-3.9726
0:07:52.273	23	KIS	2.552
0:08:36.354	26	KIS	-0.6543
0:15:18.278	53	KIS	-10.3205
0:28:54.883	107	KIS	-8.837
0:30:22.995	113	KIS	-2.159
0:03:19.161	5	KIS	0.8574
0:06:21.564	17	KIS	2.0529
0:07:06.155	20	KIS	-4.1431
0:07:52.273	23	KIS	2.2629
0:08:36.354	26	KIS	-0.4326
0:15:18.278	53	KIS	-10.0733
0:28:54.883	107	KIS	-9.1796
0:30:22.995	113	KIS	-2.8975
0:02:49.677	3	shock	4.126
0:05:54.487	15	shock	10.198
0:07:26.167	21	shock	-0.2979
0:08:56.366	27	shock	0.0225
0:10:27.68	33	shock	2.6543
0:11:12.679	36	shock	-2.0048
0:12:41.027	42	shock	-2.3998
0:18:36.804	66	shock	-3.9926
0:19:28.52	69	shock	-5.5079
0:21:01.101	75	shock	-0.8901
0:21:45.65	78	shock	9.7884
0:22:32.783	81	shock	3.6299
0:24:03.931	87	shock	-6.8473
0:25:31.98	93	shock	1.9004
0:28:29.426	105	shock	-8.9148
0:32:14.571	120	shock	-5.3045
0:03:39.175	6	nothing	0.7371
0:04:23.788	9	nothing	-3.5374
0:05:08.555	12	nothing	-1.7843
0:06:41.585	18	nothing	-0.3853
0:08:12.283	24	nothing	1.7122
0:09:42.798	30	nothing	-3.9377
0:11:57.813	39	nothing	-2.0591
0:13:24.943	45	nothing	-1.3955
0:14:10.409	48	nothing	-8.4201
0:14:54.109	51	nothing	-9.6517
0:15:38.291	54	nothing	-9.0917
0:16:22.923	57	nothing	-2.8086
0:17:07.557	60	nothing	-7.0111
0:17:52.521	63	nothing	-6.9964
0:20:16.753	72	nothing	-2.5404
0:23:18.365	84	nothing	0.1138
0:24:47.814	90	nothing	-9.3521
0:26:16.195	96	nothing	2.4959
0:27:00.844	99	nothing	-2.6902
0:27:44.761	102	nothing	-7.4976
0:29:14.892	108	nothing	-1.6874
0:29:59.158	111	nothing	-0.4341
0:30:43.006	114	nothing	-3.4157
0:31:27.856	117	nothing	-1.5063
