Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:00.0	1	proceed	0.0
0:02:58.639	4	proceed	3.5819
0:03:44.705	7	proceed	3.2734
0:04:32.536	10	proceed	1.4041
0:05:18.702	13	proceed	-0.8131
0:06:06.735	16	proceed	9.5304
0:06:51.767	19	proceed	10.5123
0:07:38.383	22	proceed	3.0868
0:08:23.265	25	proceed	11.9481
0:09:07.547	28	proceed	3.6726
0:09:57.63	31	proceed	7.3541
0:10:43.929	34	proceed	12.9794
0:11:30.528	37	proceed	11.1977
0:12:18.044	40	proceed	14.5091
0:13:11.193	43	proceed	15.4491
0:13:58.975	46	proceed	14.4539
0:14:52.691	49	proceed	11.2426
0:15:38.34	52	proceed	7.0936
0:16:23.922	55	proceed	11.0107
0:17:11.638	58	proceed	12.1715
0:17:56.97	61	proceed	13.2801
0:18:45.253	64	proceed	13.3034
0:19:29.752	67	proceed	10.4135
0:20:16.434	70	proceed	19.8759
0:21:04.583	73	proceed	14.6093
0:21:51.016	76	proceed	17.6575
0:22:40.632	79	proceed	10.7807
0:23:27.381	82	proceed	13.6957
0:24:14.496	85	proceed	23.8163
0:24:58.929	88	proceed	15.1097
0:25:44.845	91	proceed	12.5448
0:26:29.927	94	proceed	15.2437
0:27:21.859	97	proceed	10.4379
0:28:05.675	100	proceed	16.1255
0:28:52.458	103	proceed	13.4864
0:29:43.073	106	proceed	16.8615
0:30:30.906	109	proceed	13.1353
0:31:18.571	112	proceed	21.2849
0:32:08.837	115	proceed	16.7988
0:32:57.269	118	proceed	14.5879
0:33:44.269	121	proceed	11.044
0:00:00.0	1	proceed	0.8101
0:02:58.639	4	proceed	2.2569
0:03:44.705	7	proceed	2.467
0:04:32.536	10	proceed	1.029
0:05:18.702	13	proceed	-2.0537
0:06:06.735	16	proceed	7.3299
0:06:51.767	19	proceed	7.8733
0:07:38.383	22	proceed	2.4863
0:08:23.265	25	proceed	10.4345
0:09:07.547	28	proceed	3.59
0:09:57.63	31	proceed	4.7788
0:10:43.929	34	proceed	11.1403
0:11:30.528	37	proceed	9.5039
0:12:18.044	40	proceed	6.8591
0:13:11.193	43	proceed	15.5263
0:13:58.975	46	proceed	13.5763
0:14:52.691	49	proceed	8.6271
0:15:38.34	52	proceed	7.6393
0:16:23.922	55	proceed	8.327
0:17:11.638	58	proceed	7.3467
0:17:56.97	61	proceed	12.5282
0:18:45.253	64	proceed	11.3421
0:19:29.752	67	proceed	9.7302
0:20:16.434	70	proceed	18.6858
0:21:04.583	73	proceed	11.3927
0:21:51.016	76	proceed	16.6076
0:22:40.632	79	proceed	9.797
0:23:27.381	82	proceed	13.2607
0:24:14.496	85	proceed	22.4979
0:24:58.929	88	proceed	10.9196
0:25:44.845	91	proceed	11.9085
0:26:29.927	94	proceed	13.7588
0:27:21.859	97	proceed	5.072
0:28:05.675	100	proceed	14.8041
0:28:52.458	103	proceed	11.554
0:29:43.073	106	proceed	15.4621
0:30:30.906	109	proceed	12.1458
0:31:18.571	112	proceed	19.9791
0:32:08.837	115	proceed	15.2986
0:32:57.269	118	proceed	13.0435
0:33:44.269	121	proceed	12.6703
0:03:50.391	8	FON	5.7178
0:04:38.052	11	FON	6.3619
0:06:10.427	17	FON	4.1773
0:08:26.978	26	FON	6.3047
0:09:10.978	29	FON	2.0032
0:10:00.663	32	FON	3.454
0:12:28.221	41	FON	10.6593
0:13:17.509	44	FON	13.7411
0:14:55.876	50	FON	4.7264
0:16:28.835	56	FON	8.3054
0:17:14.498	59	FON	11.9618
0:18:48.242	65	FON	6.5322
0:20:19.576	71	FON	14.8673
0:21:09.799	74	FON	7.7839
0:21:57.815	77	FON	13.8008
0:23:32.733	83	FON	12.3583
0:24:16.82	86	FON	18.5613
0:25:47.492	92	FON	13.8916
0:26:36.754	95	FON	11.9804
0:27:24.522	98	FON	7.816
0:29:49.673	107	FON	16.452
0:30:35.616	110	FON	11.9934
0:31:26.745	113	FON	15.4792
0:33:01.735	119	FON	11.3879
0:03:50.391	8	FON	10.4616
0:04:38.052	11	FON	6.8466
0:06:10.427	17	FON	6.2689
0:08:26.978	26	FON	8.5203
0:09:10.978	29	FON	2.9445
0:10:00.663	32	FON	6.8812
0:12:28.221	41	FON	15.1898
0:13:17.509	44	FON	15.6011
0:14:55.876	50	FON	7.1851
0:16:28.835	56	FON	8.0543
0:17:14.498	59	FON	12.1464
0:18:48.242	65	FON	3.0301
0:20:19.576	71	FON	15.3446
0:21:09.799	74	FON	10.3569
0:21:57.815	77	FON	13.6193
0:23:32.733	83	FON	11.9975
0:24:16.82	86	FON	17.4328
0:25:47.492	92	FON	13.4219
0:26:36.754	95	FON	12.6668
0:27:24.522	98	FON	9.7735
0:29:49.673	107	FON	18.3344
0:30:35.616	110	FON	12.0037
0:31:26.745	113	FON	14.8708
0:33:01.735	119	FON	10.6668
0:03:50.391	8	FON	10.989
0:04:38.052	11	FON	6.7156
0:06:10.427	17	FON	6.3701
0:08:26.978	26	FON	8.5882
0:09:10.978	29	FON	2.826
0:10:00.663	32	FON	9.3259
0:12:28.221	41	FON	15.0351
0:13:17.509	44	FON	15.0603
0:14:55.876	50	FON	7.3074
0:16:28.835	56	FON	9.761
0:17:14.498	59	FON	10.2663
0:18:48.242	65	FON	4.6044
0:20:19.576	71	FON	14.8665
0:21:09.799	74	FON	8.7906
0:21:57.815	77	FON	13.5469
0:23:32.733	83	FON	11.584
0:24:16.82	86	FON	16.2319
0:25:47.492	92	FON	13.0465
0:26:36.754	95	FON	12.3106
0:27:24.522	98	FON	9.997
0:29:49.673	107	FON	16.653
0:30:35.616	110	FON	11.6309
0:31:26.745	113	FON	14.1795
0:33:01.735	119	FON	9.7617
0:03:50.391	8	FON	10.2919
0:04:38.052	11	FON	5.9421
0:06:10.427	17	FON	5.8156
0:08:26.978	26	FON	7.901
0:09:10.978	29	FON	2.5609
0:10:00.663	32	FON	12.2386
0:12:28.221	41	FON	14.5675
0:13:17.509	44	FON	13.8248
0:14:55.876	50	FON	6.7695
0:16:28.835	56	FON	9.3618
0:17:14.498	59	FON	12.8734
0:18:48.242	65	FON	5.2432
0:20:19.576	71	FON	14.039
0:21:09.799	74	FON	8.8133
0:21:57.815	77	FON	13.4754
0:23:32.733	83	FON	11.2285
0:24:16.82	86	FON	15.2496
0:25:47.492	92	FON	13.0053
0:26:36.754	95	FON	11.3968
0:27:24.522	98	FON	9.7197
0:29:49.673	107	FON	14.97
0:30:35.616	110	FON	11.1482
0:31:26.745	113	FON	13.4443
0:33:01.735	119	FON	9.1962
0:02:16.601	2	KIS	17.1464
0:03:03.711	5	KIS	3.205
0:05:25.1	14	KIS	6.1058
0:06:57.898	20	KIS	14.1611
0:07:42.13	23	KIS	1.3044
0:10:49.903	35	KIS	9.9993
0:11:35.55	38	KIS	6.1484
0:14:03.853	47	KIS	7.1346
0:15:43.045	53	KIS	9.0554
0:18:01.755	62	KIS	13.2826
0:19:33.225	68	KIS	9.032
0:22:44.87	80	KIS	10.8116
0:25:01.539	89	KIS	13.2998
0:28:10.641	101	KIS	11.8371
0:28:59.872	104	KIS	10.91
0:32:16.214	116	KIS	14.5356
0:02:16.601	2	KIS	17.7626
0:03:03.711	5	KIS	7.781
0:05:25.1	14	KIS	9.2571
0:06:57.898	20	KIS	12.7572
0:07:42.13	23	KIS	1.1562
0:10:49.903	35	KIS	8.5976
0:11:35.55	38	KIS	5.553
0:14:03.853	47	KIS	10.8674
0:15:43.045	53	KIS	11.7877
0:18:01.755	62	KIS	16.0095
0:19:33.225	68	KIS	8.9402
0:22:44.87	80	KIS	10.7303
0:25:01.539	89	KIS	13.1077
0:28:10.641	101	KIS	11.0216
0:28:59.872	104	KIS	10.3217
0:32:16.214	116	KIS	14.3174
0:02:16.601	2	KIS	16.2237
0:03:03.711	5	KIS	8.1565
0:05:25.1	14	KIS	9.1985
0:06:57.898	20	KIS	11.0389
0:07:42.13	23	KIS	0.7579
0:10:49.903	35	KIS	8.7235
0:11:35.55	38	KIS	5.1973
0:14:03.853	47	KIS	11.2751
0:15:43.045	53	KIS	12.428
0:18:01.755	62	KIS	15.2934
0:19:33.225	68	KIS	9.5372
0:22:44.87	80	KIS	10.4491
0:25:01.539	89	KIS	13.2867
0:28:10.641	101	KIS	10.1657
0:28:59.872	104	KIS	9.7365
0:32:16.214	116	KIS	13.3437
0:02:16.601	2	KIS	14.1093
0:03:03.711	5	KIS	7.9585
0:05:25.1	14	KIS	9.5387
0:06:57.898	20	KIS	9.7678
0:07:42.13	23	KIS	1.0727
0:10:49.903	35	KIS	8.3424
0:11:35.55	38	KIS	5.5792
0:14:03.853	47	KIS	10.9927
0:15:43.045	53	KIS	12.2907
0:18:01.755	62	KIS	13.8071
0:19:33.225	68	KIS	11.8443
0:22:44.87	80	KIS	11.0409
0:25:01.539	89	KIS	11.6543
0:28:10.641	101	KIS	9.4647
0:28:59.872	104	KIS	9.1847
0:32:16.214	116	KIS	12.2528
0:05:45.121	15	shock	11.845
0:06:30.435	18	shock	4.83
0:08:02.15	24	shock	9.8317
0:10:20.681	33	shock	15.2739
0:11:55.562	39	shock	7.5914
0:12:48.229	42	shock	12.6057
0:13:37.527	45	shock	15.0401
0:14:23.859	48	shock	18.6626
0:16:48.856	57	shock	18.6062
0:17:34.505	60	shock	25.8224
0:18:21.772	63	shock	13.7253
0:19:53.236	69	shock	18.8498
0:20:39.585	72	shock	11.6685
0:21:29.818	75	shock	8.0688
0:23:52.748	84	shock	23.7058
0:24:36.83	87	shock	15.4573
0:25:21.547	90	shock	8.1628
0:26:07.512	93	shock	14.3304
0:29:19.892	105	shock	19.8556
0:30:55.623	111	shock	14.5875
0:31:46.755	114	shock	16.3845
0:32:36.221	117	shock	10.2874
0:33:21.754	120	shock	13.7594
0:02:36.629	3	nothing	5.8858
0:03:23.724	6	nothing	5.6395
0:04:10.405	9	nothing	6.359
0:04:58.073	12	nothing	1.7071
0:07:17.919	21	nothing	4.1086
0:08:47.0	27	nothing	4.2209
0:09:30.999	30	nothing	8.7772
0:11:09.913	36	nothing	14.1716
0:15:15.892	51	nothing	4.7571
0:16:03.058	54	nothing	14.6706
0:19:08.254	66	nothing	6.8795
0:22:17.834	78	nothing	9.5471
0:23:04.883	81	nothing	16.8601
0:26:56.761	96	nothing	8.9782
0:27:44.544	99	nothing	9.7987
0:28:30.66	102	nothing	10.9621
0:30:09.691	108	nothing	9.4357
