Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:00.0	1	proceed	0.0
0:00:00.0	2	proceed	0.0012
0:01:38.831	5	proceed	10.4414
0:02:26.663	8	proceed	17.4239
0:03:15.195	11	proceed	10.7203
0:03:58.911	14	proceed	4.6523
0:04:41.627	17	proceed	6.7657
0:05:24.843	20	proceed	13.1701
0:06:08.225	23	proceed	16.5508
0:06:51.491	26	proceed	16.2993
0:07:35.007	29	proceed	9.611
0:08:18.473	32	proceed	18.2775
0:09:01.505	35	proceed	15.6893
0:09:44.304	38	proceed	9.926
0:10:26.687	41	proceed	10.8457
0:11:10.536	44	proceed	9.9931
0:11:53.635	47	proceed	18.1453
0:12:36.368	50	proceed	18.3771
0:13:22.3	53	proceed	10.3425
0:14:06.316	56	proceed	17.5568
0:14:51.032	59	proceed	12.4538
0:15:34.497	62	proceed	23.6825
0:16:17.863	65	proceed	13.4565
0:17:00.096	68	proceed	9.3573
0:17:48.245	71	proceed	14.4052
0:18:32.777	74	proceed	15.2585
0:19:15.36	77	proceed	11.4306
0:19:58.542	80	proceed	14.1862
0:20:43.141	83	proceed	4.2783
0:21:27.69	86	proceed	16.9512
0:22:11.306	89	proceed	12.7628
0:22:54.089	92	proceed	18.4235
0:23:38.188	95	proceed	14.3912
0:24:23.87	98	proceed	3.7042
0:25:08.903	101	proceed	10.5276
0:25:54.002	104	proceed	6.8951
0:26:36.634	107	proceed	7.3466
0:27:20.867	110	proceed	8.1923
0:28:04.966	113	proceed	5.469
0:28:48.848	116	proceed	6.4539
0:29:31.881	119	proceed	2.5601
0:30:20.397	122	proceed	6.8232
0:00:00.0	1	proceed	5.6297
0:00:00.0	2	proceed	23.89
0:01:38.831	5	proceed	9.1988
0:02:26.663	8	proceed	15.6388
0:03:15.195	11	proceed	9.1427
0:03:58.911	14	proceed	4.8987
0:04:41.627	17	proceed	6.1224
0:05:24.843	20	proceed	14.6231
0:06:08.225	23	proceed	14.7995
0:06:51.491	26	proceed	12.9255
0:07:35.007	29	proceed	8.8118
0:08:18.473	32	proceed	16.7586
0:09:01.505	35	proceed	14.4782
0:09:44.304	38	proceed	9.795
0:10:26.687	41	proceed	10.4377
0:11:10.536	44	proceed	12.0444
0:11:53.635	47	proceed	16.83
0:12:36.368	50	proceed	16.8695
0:13:22.3	53	proceed	10.394
0:14:06.316	56	proceed	15.9499
0:14:51.032	59	proceed	11.7911
0:15:34.497	62	proceed	20.7421
0:16:17.863	65	proceed	15.1711
0:17:00.096	68	proceed	8.5674
0:17:48.245	71	proceed	13.968
0:18:32.777	74	proceed	14.3624
0:19:15.36	77	proceed	11.2381
0:19:58.542	80	proceed	15.4138
0:20:43.141	83	proceed	3.7785
0:21:27.69	86	proceed	16.9019
0:22:11.306	89	proceed	14.8889
0:22:54.089	92	proceed	17.5081
0:23:38.188	95	proceed	11.6322
0:24:23.87	98	proceed	3.8916
0:25:08.903	101	proceed	10.6131
0:25:54.002	104	proceed	14.9007
0:26:36.634	107	proceed	6.722
0:27:20.867	110	proceed	8.4933
0:28:04.966	113	proceed	4.8887
0:28:48.848	116	proceed	6.8387
0:29:31.881	119	proceed	1.7717
0:30:20.397	122	proceed	6.2959
0:00:56.436	3	FON	22.6181
0:01:45.459	6	FON	28.0786
0:03:18.441	12	FON	9.9003
0:04:01.016	15	FON	8.7475
0:05:27.303	21	FON	13.9972
0:06:10.558	24	FON	12.3386
0:06:53.828	27	FON	11.6959
0:07:37.58	30	FON	12.2549
0:08:21.117	33	FON	14.614
0:09:03.925	36	FON	12.7822
0:09:46.275	39	FON	10.4773
0:10:29.084	42	FON	14.2646
0:11:12.929	45	FON	17.5005
0:11:55.472	48	FON	14.5899
0:12:41.407	51	FON	13.8488
0:13:25.031	54	FON	9.3304
0:14:08.455	57	FON	21.4127
0:14:53.024	60	FON	12.8756
0:15:36.592	63	FON	17.3796
0:16:19.654	66	FON	16.1274
0:17:02.253	69	FON	8.5027
0:17:50.027	72	FON	16.1852
0:18:34.707	75	FON	14.0977
0:19:17.252	78	FON	13.7479
0:20:00.731	81	FON	12.8993
0:20:45.634	84	FON	7.1769
0:21:29.752	87	FON	14.7908
0:22:12.946	90	FON	18.0365
0:22:57.081	93	FON	14.5711
0:23:40.32	96	FON	9.717
0:24:26.775	99	FON	15.4142
0:25:10.912	102	FON	11.7533
0:25:55.574	105	FON	21.0555
0:26:38.478	108	FON	9.9142
0:27:23.293	111	FON	11.2451
0:28:06.828	114	FON	8.034
0:28:50.524	117	FON	9.1205
0:29:33.428	120	FON	8.6648
0:00:56.436	3	FON	22.5225
0:01:45.459	6	FON	27.322
0:03:18.441	12	FON	11.5871
0:04:01.016	15	FON	9.7322
0:05:27.303	21	FON	12.4835
0:06:10.558	24	FON	11.109
0:06:53.828	27	FON	10.7956
0:07:37.58	30	FON	13.7091
0:08:21.117	33	FON	13.9478
0:09:03.925	36	FON	12.679
0:09:46.275	39	FON	12.7187
0:10:29.084	42	FON	17.7008
0:11:12.929	45	FON	19.9507
0:11:55.472	48	FON	16.6979
0:12:41.407	51	FON	13.641
0:13:25.031	54	FON	9.2025
0:14:08.455	57	FON	21.3559
0:14:53.024	60	FON	13.7802
0:15:36.592	63	FON	16.3059
0:16:19.654	66	FON	14.5086
0:17:02.253	69	FON	10.4141
0:17:50.027	72	FON	16.5227
0:18:34.707	75	FON	12.7645
0:19:17.252	78	FON	13.6784
0:20:00.731	81	FON	12.0863
0:20:45.634	84	FON	7.9582
0:21:29.752	87	FON	14.6722
0:22:12.946	90	FON	17.3491
0:22:57.081	93	FON	13.1049
0:23:40.32	96	FON	9.4961
0:24:26.775	99	FON	17.7949
0:25:10.912	102	FON	11.3496
0:25:55.574	105	FON	20.4009
0:26:38.478	108	FON	10.6676
0:27:23.293	111	FON	10.7219
0:28:06.828	114	FON	8.1625
0:28:50.524	117	FON	9.1509
0:29:33.428	120	FON	12.1318
0:00:56.436	3	FON	22.1308
0:01:45.459	6	FON	26.4007
0:03:18.441	12	FON	11.8208
0:04:01.016	15	FON	9.9082
0:05:27.303	21	FON	12.4032
0:06:10.558	24	FON	10.506
0:06:53.828	27	FON	9.9923
0:07:37.58	30	FON	14.0136
0:08:21.117	33	FON	13.3765
0:09:03.925	36	FON	12.8059
0:09:46.275	39	FON	15.1679
0:10:29.084	42	FON	18.6161
0:11:12.929	45	FON	19.1952
0:11:55.472	48	FON	18.0646
0:12:41.407	51	FON	15.738
0:13:25.031	54	FON	9.2114
0:14:08.455	57	FON	19.9826
0:14:53.024	60	FON	14.1135
0:15:36.592	63	FON	15.224
0:16:19.654	66	FON	13.3789
0:17:02.253	69	FON	11.5376
0:17:50.027	72	FON	16.6883
0:18:34.707	75	FON	11.918
0:19:17.252	78	FON	13.5385
0:20:00.731	81	FON	11.2521
0:20:45.634	84	FON	8.0614
0:21:29.752	87	FON	14.0301
0:22:12.946	90	FON	16.655
0:22:57.081	93	FON	11.9433
0:23:40.32	96	FON	8.8518
0:24:26.775	99	FON	18.5833
0:25:10.912	102	FON	11.033
0:25:55.574	105	FON	19.3707
0:26:38.478	108	FON	10.7901
0:27:23.293	111	FON	10.0807
0:28:06.828	114	FON	7.8473
0:28:50.524	117	FON	8.9268
0:29:33.428	120	FON	12.8979
0:00:56.436	3	FON	21.0826
0:01:45.459	6	FON	25.3067
0:03:18.441	12	FON	11.5831
0:04:01.016	15	FON	9.4768
0:05:27.303	21	FON	12.5489
0:06:10.558	24	FON	10.6022
0:06:53.828	27	FON	9.2735
0:07:37.58	30	FON	13.545
0:08:21.117	33	FON	13.0969
0:09:03.925	36	FON	12.6296
0:09:46.275	39	FON	16.611
0:10:29.084	42	FON	18.5239
0:11:12.929	45	FON	18.4255
0:11:55.472	48	FON	18.0521
0:12:41.407	51	FON	17.1252
0:13:25.031	54	FON	10.6166
0:14:08.455	57	FON	18.532
0:14:53.024	60	FON	13.7843
0:15:36.592	63	FON	14.3249
0:16:19.654	66	FON	12.5022
0:17:02.253	69	FON	12.1979
0:17:50.027	72	FON	16.3335
0:18:34.707	75	FON	11.1725
0:19:17.252	78	FON	13.1745
0:20:00.731	81	FON	10.4521
0:20:45.634	84	FON	8.0237
0:21:29.752	87	FON	13.2571
0:22:12.946	90	FON	15.524
0:22:57.081	93	FON	10.9323
0:23:40.32	96	FON	8.1804
0:24:26.775	99	FON	17.9699
0:25:10.912	102	FON	10.4468
0:25:55.574	105	FON	18.1624
0:26:38.478	108	FON	10.4355
0:27:23.293	111	FON	9.3291
0:28:06.828	114	FON	7.3435
0:28:50.524	117	FON	8.3322
0:29:33.428	120	FON	12.7099
0:02:34.394	9	KIS	10.7931
0:04:44.263	18	KIS	8.8295
0:02:34.394	9	KIS	9.5303
0:04:44.263	18	KIS	11.2146
0:02:34.394	9	KIS	8.5978
0:04:44.263	18	KIS	12.3806
0:02:34.394	9	KIS	8.0433
0:04:44.263	18	KIS	12.7379
0:02:05.483	7	shock	22.4162
0:05:47.31	22	shock	13.5253
0:06:30.576	25	shock	21.3486
0:07:13.842	28	shock	8.1188
0:07:57.591	31	shock	13.8112
0:12:15.486	49	shock	18.4149
0:13:45.051	55	shock	24.3739
0:14:28.467	58	shock	12.8654
0:15:13.032	61	shock	12.0185
0:15:56.598	64	shock	11.8331
0:17:22.263	70	shock	15.9029
0:18:10.046	73	shock	17.0365
0:19:37.26	79	shock	12.7639
0:21:05.642	85	shock	15.4885
0:22:32.957	91	shock	15.4131
0:23:17.09	94	shock	9.9502
0:29:53.449	121	shock	11.497
0:01:16.456	4	nothing	14.7939
0:02:54.416	10	nothing	11.1051
0:03:38.465	13	nothing	9.0102
0:04:21.031	16	nothing	7.1896
0:05:04.279	19	nothing	14.4704
0:08:41.124	34	nothing	9.1618
0:09:23.94	37	nothing	10.0573
0:10:06.291	40	nothing	19.9976
0:10:49.104	43	nothing	18.3519
0:11:32.938	46	nothing	13.4789
0:13:01.418	52	nothing	18.8849
0:16:39.664	67	nothing	9.6605
0:18:54.728	76	nothing	7.7245
0:20:20.743	82	nothing	6.6082
0:21:49.759	88	nothing	9.0044
0:24:00.339	97	nothing	4.7295
0:24:46.788	100	nothing	13.48
0:25:30.92	103	nothing	6.9316
0:26:15.586	106	nothing	11.2821
0:26:58.486	109	nothing	7.9357
0:27:43.301	112	nothing	5.2718
0:28:26.85	115	nothing	6.1653
0:29:10.533	118	nothing	6.0841
