Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:00:00.0	1	proceed	0
0:02:48.359	4	proceed	15.58620187
0:03:32.108	7	proceed	15.49780156
0:04:16.89	10	proceed	7.610753124
0:05:02.239	13	proceed	16.37603592
0:05:45.621	16	proceed	8.086281249
0:06:31.77	19	proceed	12.42084125
0:07:17.753	22	proceed	23.79060717
0:08:03.268	25	proceed	17.72961751
0:08:48.284	28	proceed	14.24802843
0:09:33.65	31	proceed	12.99152187
0:10:17.799	34	proceed	20.74197094
0:11:02.515	37	proceed	10.6069644
0:11:45.914	40	proceed	12.97679751
0:12:29.546	43	proceed	9.740062187
0:13:13.912	46	proceed	22.68223
0:13:58.428	49	proceed	11.67531249
0:14:44.393	52	proceed	10.89446187
0:15:28.226	55	proceed	12.82375812
0:16:12.891	58	proceed	17.30481813
0:16:57.374	61	proceed	11.97470845
0:17:41.556	64	proceed	11.12340719
0:18:26.339	67	proceed	12.50329719
0:19:11.971	70	proceed	7.08701689
0:19:56.22	73	proceed	9.010942222
0:20:41.119	76	proceed	5.635030617
0:21:24.352	79	proceed	9.852403772
0:22:07.351	82	proceed	5.816164035
0:22:51.0	85	proceed	7.160456557
0:23:35.416	88	proceed	10.53379622
0:24:19.748	91	proceed	9.687440949
0:25:02.73	94	proceed	6.113961246
0:25:45.863	97	proceed	9.410862517
0:26:28.462	100	proceed	5.954151555
0:27:11.161	103	proceed	3.580528757
0:27:54.227	106	proceed	17.56934033
0:28:37.276	109	proceed	12.72375937
0:29:20.525	112	proceed	10.48905219
0:30:07.191	115	proceed	5.35580125
0:30:52.257	118	proceed	2.899747501
0:31:35.039	121	proceed	8.1697478
0:00:00.0	1	proceed	6.388238753
0:02:48.359	4	proceed	14.67521375
0:03:32.108	7	proceed	14.61707376
0:04:16.89	10	proceed	7.132481255
0:05:02.239	13	proceed	17.1808125
0:05:45.621	16	proceed	8.895858748
0:06:31.77	19	proceed	15.47735126
0:07:17.753	22	proceed	22.51066625
0:08:03.268	25	proceed	16.889795
0:08:48.284	28	proceed	13.34856125
0:09:33.65	31	proceed	12.91481881
0:10:17.799	34	proceed	19.57553625
0:11:02.515	37	proceed	10.27198125
0:11:45.914	40	proceed	12.51019625
0:12:29.546	43	proceed	9.12576
0:13:13.912	46	proceed	21.34546624
0:13:58.428	49	proceed	11.11195374
0:14:44.393	52	proceed	10.38793498
0:15:28.226	55	proceed	10.33139124
0:16:12.891	58	proceed	16.61366626
0:16:57.374	61	proceed	11.36738874
0:17:41.556	64	proceed	10.63136752
0:18:26.339	67	proceed	11.57621
0:19:11.971	70	proceed	7.206732494
0:19:56.22	73	proceed	8.947094936
0:20:41.119	76	proceed	5.401016249
0:21:24.352	79	proceed	9.77653621
0:22:07.351	82	proceed	5.681401252
0:22:51.0	85	proceed	7.411474993
0:23:35.416	88	proceed	10.34781493
0:24:19.748	91	proceed	9.844525002
0:25:02.73	94	proceed	5.947615
0:25:45.863	97	proceed	9.096418748
0:26:28.462	100	proceed	5.629245007
0:27:11.161	103	proceed	3.640047501
0:27:54.227	106	proceed	16.86233249
0:28:37.276	109	proceed	10.56898625
0:29:20.525	112	proceed	10.68843754
0:30:07.191	115	proceed	5.175499998
0:30:52.257	118	proceed	4.515672498
0:31:35.039	121	proceed	8.517525069
0:02:50.412	5	FON	13.16625151
0:05:04.714	14	FON	13.746185
0:05:49.759	17	FON	10.48029399
0:11:48.786	41	FON	11.88945449
0:12:32.339	44	FON	8.330896732
0:15:30.632	56	FON	9.541988754
0:16:15.808	59	FON	14.3595645
0:17:44.031	65	FON	10.0593305
0:24:22.402	92	FON	9.947484746
0:25:47.984	98	FON	8.475592752
0:26:30.768	101	FON	5.050794004
0:28:39.454	110	FON	11.91764775
0:02:50.412	5	FON	11.69536787
0:05:04.714	14	FON	13.24975
0:05:49.759	17	FON	11.48956575
0:11:48.786	41	FON	12.22252387
0:12:32.339	44	FON	9.860847989
0:15:30.632	56	FON	10.126017
0:16:15.808	59	FON	13.23691313
0:17:44.031	65	FON	9.949566254
0:24:22.402	92	FON	9.989230125
0:25:47.984	98	FON	8.430537623
0:26:30.768	101	FON	4.710180253
0:28:39.454	110	FON	10.62206312
0:02:50.412	5	FON	10.76581225
0:05:04.714	14	FON	12.64111892
0:05:49.759	17	FON	11.90835
0:11:48.786	41	FON	12.30277824
0:12:32.339	44	FON	11.06238974
0:15:30.632	56	FON	9.899255336
0:16:15.808	59	FON	12.55399975
0:17:44.031	65	FON	9.593823418
0:24:22.402	92	FON	9.513684089
0:25:47.984	98	FON	8.137154585
0:26:30.768	101	FON	4.606537585
0:28:39.454	110	FON	10.14989191
0:02:50.412	5	FON	10.18522063
0:05:04.714	14	FON	11.97338731
0:05:49.759	17	FON	12.14314556
0:11:48.786	41	FON	12.31977799
0:12:32.339	44	FON	12.65003118
0:15:30.632	56	FON	10.31837863
0:16:15.808	59	FON	12.19109913
0:17:44.031	65	FON	9.443963815
0:24:22.402	92	FON	9.367636187
0:25:47.984	98	FON	7.969662564
0:26:30.768	101	FON	4.798633561
0:28:39.454	110	FON	9.79615699
0:02:05.366	2	KIS	10.69731474
0:03:35.842	8	KIS	11.932702
0:04:20.457	11	KIS	5.987672494
0:06:36.008	20	KIS	15.04675101
0:07:20.863	23	KIS	20.324091
0:08:06.807	26	KIS	15.82061474
0:08:51.534	29	KIS	12.68598
0:09:36.467	32	KIS	11.698618
0:10:20.893	35	KIS	17.73728024
0:11:04.62	38	KIS	9.902897974
0:13:16.826	47	KIS	19.20929374
0:14:01.978	50	KIS	10.65472525
0:14:46.793	53	KIS	10.6663765
0:16:59.791	62	KIS	11.816583
0:18:29.501	68	KIS	10.33210575
0:19:14.254	71	KIS	8.118076749
0:20:00.173	74	KIS	8.501403739
0:20:43.437	77	KIS	5.453085013
0:21:27.02	80	KIS	9.682413759
0:22:09.764	83	KIS	5.18032925
0:22:53.585	86	KIS	8.209377746
0:23:37.794	89	KIS	9.869834984
0:25:05.297	95	KIS	6.504726747
0:27:13.143	104	KIS	3.315214999
0:27:56.382	107	KIS	15.24249875
0:29:24.445	113	KIS	10.14860523
0:30:10.636	116	KIS	4.498215252
0:30:54.484	119	KIS	4.89326199
0:02:05.366	2	KIS	10.50943075
0:03:35.842	8	KIS	11.64849512
0:04:20.457	11	KIS	6.500580122
0:06:36.008	20	KIS	15.74535988
0:07:20.863	23	KIS	18.73632538
0:08:06.807	26	KIS	14.932904
0:08:51.534	29	KIS	13.64033337
0:09:36.467	32	KIS	11.24925814
0:10:20.893	35	KIS	16.78155787
0:11:04.62	38	KIS	10.07416948
0:13:16.826	47	KIS	17.37908562
0:14:01.978	50	KIS	10.68776375
0:14:46.793	53	KIS	10.02535937
0:16:59.791	62	KIS	10.97238287
0:18:29.501	68	KIS	9.695221876
0:19:14.254	71	KIS	7.977248873
0:20:00.173	74	KIS	8.028949244
0:20:43.437	77	KIS	5.630706631
0:21:27.02	80	KIS	9.401952257
0:22:09.764	83	KIS	5.310470625
0:22:53.585	86	KIS	8.704630745
0:23:37.794	89	KIS	9.711581124
0:25:05.297	95	KIS	6.974346635
0:27:13.143	104	KIS	4.905503
0:27:56.382	107	KIS	14.31012725
0:29:24.445	113	KIS	9.736967113
0:30:10.636	116	KIS	4.130645504
0:30:54.484	119	KIS	5.392815369
0:02:05.366	2	KIS	10.73357642
0:03:35.842	8	KIS	10.85516749
0:04:20.457	11	KIS	7.775888079
0:06:36.008	20	KIS	15.91143792
0:07:20.863	23	KIS	17.5560195
0:08:06.807	26	KIS	14.19896033
0:08:51.534	29	KIS	13.99006783
0:09:36.467	32	KIS	10.88492327
0:10:20.893	35	KIS	15.64016925
0:11:04.62	38	KIS	10.23395832
0:13:16.826	47	KIS	16.29028066
0:14:01.978	50	KIS	10.32400917
0:14:46.793	53	KIS	10.19503416
0:16:59.791	62	KIS	10.53114816
0:18:29.501	68	KIS	9.162597082
0:19:14.254	71	KIS	7.767529748
0:20:00.173	74	KIS	7.847361416
0:20:43.437	77	KIS	5.672041338
0:21:27.02	80	KIS	9.009867424
0:22:09.764	83	KIS	5.426622833
0:22:53.585	86	KIS	8.500762995
0:23:37.794	89	KIS	9.37509208
0:25:05.297	95	KIS	7.013462589
0:27:13.143	104	KIS	5.55045575
0:27:56.382	107	KIS	13.478392
0:29:24.445	113	KIS	9.257684907
0:30:10.636	116	KIS	3.995789168
0:30:54.484	119	KIS	5.608693159
0:02:05.366	2	KIS	10.6309295
0:03:35.842	8	KIS	10.71989137
0:04:20.457	11	KIS	8.615152431
0:06:36.008	20	KIS	16.08165756
0:07:20.863	23	KIS	16.83489656
0:08:06.807	26	KIS	13.52898387
0:08:51.534	29	KIS	14.574593
0:09:36.467	32	KIS	10.66830401
0:10:20.893	35	KIS	14.78072668
0:11:04.62	38	KIS	10.27333786
0:13:16.826	47	KIS	15.3524465
0:14:01.978	50	KIS	10.005962
0:14:46.793	53	KIS	10.1855865
0:16:59.791	62	KIS	10.32441575
0:18:29.501	68	KIS	8.700744126
0:19:14.254	71	KIS	7.604763563
0:20:00.173	74	KIS	7.640682249
0:20:43.437	77	KIS	5.676273503
0:21:27.02	80	KIS	8.640012006
0:22:09.764	83	KIS	5.560088246
0:22:53.585	86	KIS	8.460726436
0:23:37.794	89	KIS	9.024100936
0:25:05.297	95	KIS	6.966705195
0:27:13.143	104	KIS	6.485512374
0:27:56.382	107	KIS	12.98833156
0:29:24.445	113	KIS	8.887864058
0:30:10.636	116	KIS	3.773613627
0:30:54.484	119	KIS	5.956207244
0:02:25.382	3	shock	14.69047074
0:03:10.427	6	shock	10.270879
0:04:40.474	12	shock	15.75086626
0:06:56.021	21	shock	18.4624095
0:07:40.87	24	shock	15.92696124
0:08:26.819	27	shock	11.33216875
0:09:56.484	33	shock	13.66775549
0:12:52.347	45	shock	22.2541645
0:13:36.846	48	shock	12.16044324
0:15:06.811	54	shock	12.256568
0:15:50.643	57	shock	14.4756945
0:16:35.826	60	shock	11.70421875
0:17:19.808	63	shock	10.374697
0:18:04.04	66	shock	10.8626475
0:18:49.507	69	shock	7.603580004
0:21:03.453	78	shock	7.127728252
0:23:13.601	87	shock	10.54213497
0:23:57.817	90	shock	8.265697504
0:27:33.162	105	shock	13.5292965
0:28:16.394	108	shock	14.18572199
0:28:59.46	111	shock	10.5918495
0:03:55.859	9	nothing	9.858234993
0:05:24.725	15	nothing	8.585824746
0:06:09.773	18	nothing	11.991456
0:09:11.553	30	nothing	17.302576
0:10:40.901	36	nothing	12.36282451
0:11:24.633	39	nothing	11.2935925
0:12:08.799	42	nothing	11.76075675
0:14:21.995	51	nothing	10.1840125
0:19:34.273	72	nothing	7.555285248
0:20:20.188	75	nothing	6.529061
0:21:47.036	81	nothing	7.717077738
0:22:29.785	84	nothing	6.524694751
0:24:42.416	93	nothing	8.439962988
0:25:25.315	96	nothing	8.105391742
0:26:07.997	99	nothing	7.056895743
0:26:50.78	102	nothing	5.057383512
0:29:44.46	114	nothing	7.878289249
0:30:30.658	117	nothing	2.426039999
0:31:14.491	120	nothing	7.194236244
